Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
F,0.396,0.288,0.097,0.3151,0.1575,0.0805,0.0914,7
F,0.526,0.427,0.167,0.8802,0.2912,0.1894,0.2967,16
I,0.5,0.396,0.131,0.5694,0.2631,0.0769,0.241,10
F,0.626,0.508,0.149,1.1844,0.6214,0.238,0.2979,9
F,0.65,0.487,0.173,1.1405,0.568,0.2583,0.2671,9
I,0.533,0.422,0.127,0.7232,0.3227,0.1453,0.1924,9
M,0.645,0.488,0.189,1.3162,0.4742,0.2834,0.4841,14
M,0.302,0.189,0.067,0.1279,0.0575,0.0297,0.0361,6
M,0.618,0.474,0.206,1.4318,0.5899,0.2967,0.3567,17
I,0.638,0.508,0.143,1.3327,0.6319,0.2476,0.333,8
M,0.515,0.406,0.149,0.8872,0.369,0.2184,0.2871,11
M,0.54,0.427,0.114,0.7472,0.2702,0.1878,0.2179,13
M,0.442,0.33,0.114,0.4771,0.1866,0.1073,0.1674,17
M,0.701,0.535,0.212,1.6902,0.8706,0.4606,0.4877,11
I,0.55,0.406,0.091,0.6505,0.3178,0.1846,0.1446,8
M,0.647,0.518,0.209,1.4855,0.648,0.2571,0.4176,16
M,0.547,0.428,0.115,0.7939,0.4025,0.1394,0.1603,6
M,0.641,0.527,0.185,1.7612,0.6461,0.3954,0.5385,18
M,0.641,0.489,0.147,1.4179,0.6502,0.3112,0.3654,10
I,0.267,0.166,0.04,0.0898,0.053,0.0228,0.0229,6
I,0.176,0.116,0.041,0.0319,0.0149,0.0042,0.005,4
F,0.578,0.437,0.113,0.9826,0.4689,0.1891,0.2065,7
M,0.743,0.582,0.206,2.0967,1.0901,0.4336,0.5138,8
M,0.373,0.279,0.064,0.2161,0.1188,0.0507,0.0937,7
F,0.464,0.36,0.134,0.4616,0.1956,0.0766,0.1478,11
M,0.568,0.456,0.145,0.8574,0.4261,0.1856,0.2309,10
I,0.71,0.557,0.195,1.5645,0.7408,0.3441,0.4374,11
I,0.489,0.376,0.133,0.641,0.243,0.2032,0.1577,12
F,0.479,0.337,0.094,0.4186,0.1781,0.0754,0.1311,8
I,0.308,0.283,0.107,0.1922,0.0575,0.0456,0.057,8
I,0.655,0.509,0.193,1.6264,0.7786,0.3645,0.4133,10
M,0.611,0.468,0.153,1.0495,0.4576,0.1913,0.2639,7
F,0.438,0.335,0.097,0.3475,0.206,0.0825,0.0743,6
M,0.449,0.354,0.128,0.5064,0.2523,0.1241,0.1763,8
F,0.549,0.437,0.14,0.8177,0.3525,0.1792,0.2119,10
F,0.436,0.343,0.081,0.397,0.1599,0.0807,0.1037,5
F,0.726,0.573,0.208,1.9074,0.8794,0.3962,0.5733,8
M,0.683,0.547,0.172,1.5453,0.6428,0.3432,0.4257,10
M,0.548,0.41,0.134,0.6703,0.285,0.1728,0.1798,12
F,0.201,0.103,0.067,0.0747,0.0247,0.0148,0.0408,6
M,0.648,0.507,0.171,1.3409,0.6788,0.302,0.3183,9
F,0.592,0.431,0.136,0.9897,0.3926,0.1829,0.2191,10
I,0.438,0.339,0.126,0.4182,0.1801,0.0836,0.1226,10
I,0.497,0.386,0.125,0.6103,0.2646,0.0924,0.1775,9
I,0.265,0.183,0.071,0.1763,0.0488,0.0385,0.0799,6
F,0.63,0.489,0.173,1.2313,0.5148,0.226,0.4362,11
F,0.564,0.471,0.16,0.781,0.3581,0.1819,0.2168,11
I,0.62,0.476,0.196,1.345,0.5979,0.1953,0.409,12
I,0.081,0.055,0.053,0.0197,0.029,0.0057,0.0015,3
M,0.39,0.332,0.101,0.52,0.2658,0.115,0.1083,9
F,0.51,0.416,0.148,0.7955,0.2717,0.1526,0.2813,11
M,0.554,0.441,0.1,0.5266,0.3267,0.0867,0.1038,8
F,0.625,0.476,0.164,1.3461,0.635,0.3063,0.3552,11
I,0.594,0.468,0.154,1.2183,0.4804,0.2625,0.3791,16
I,0.372,0.294,0.109,0.2901,0.1574,0.0643,0.0905,10
I,0.305,0.246,0.088,0.1531,0.0865,0.0277,0.0354,6
M,0.736,0.573,0.213,2.0368,0.818,0.477,0.5741,11
F,0.423,0.313,0.099,0.2541,0.1288,0.0752,0.0671,7
M,0.613,0.512,0.193,1.265,0.5303,0.3044,0.3888,15
I,0.514,0.39,0.15,0.6911,0.3378,0.1384,0.1874,9
I,0.346,0.239,0.095,0.2777,0.1275,0.0674,0.0545,8
F,0.652,0.518,0.184,1.3281,0.5303,0.2922,0.3789,13
F,0.613,0.483,0.137,1.2134,0.5483,0.2801,0.2959,7
M,0.556,0.424,0.13,0.6258,0.2495,0.1277,0.159,7
M,0.59,0.493,0.175,1.1518,0.5029,0.2323,0.3485,15
M,0.634,0.508,0.143,1.319,0.6537,0.2756,0.3634,8
I,0.492,0.344,0.108,0.6232,0.2482,0.1844,0.1586,7
F,0.603,0.479,0.135,1.0117,0.4586,0.2258,0.2455,10
M,0.538,0.434,0.146,0.6903,0.2733,0.116,0.2521,12
I,0.075,0.055,0.038,0.0258,0.0075,0.0122,0.0122,8
I,0.494,0.398,0.09,0.4229,0.1494,0.0983,0.1499,6
F,0.647,0.514,0.167,1.4135,0.6412,0.2974,0.433,14
M,0.516,0.415,0.134,0.6268,0.317,0.1184,0.227,12
F,0.505,0.391,0.102,0.5998,0.3275,0.1263,0.1657,9
F,0.39,0.282,0.082,0.2142,0.1198,0.0468,0.0611,6
F,0.595,0.468,0.124,0.9577,0.4152,0.237,0.267,8
M,0.533,0.431,0.145,0.8969,0.3713,0.1755,0.2281,8
M,0.538,0.434,0.169,0.7297,0.1901,0.1957,0.2496,17
M,0.606,0.458,0.171,0.919,0.4692,0.1884,0.2507,8
F,0.333,0.255,0.114,0.3306,0.1292,0.0862,0.0865,7
M,0.577,0.422,0.145,0.6961,0.2742,0.1421,0.2579,9
I,0.484,0.361,0.11,0.5992,0.3043,0.1031,0.1619,6
F,0.252,0.175,0.07,0.0679,0.0145,0.0167,0.0259,9
F,0.613,0.472,0.139,1.1813,0.6048,0.2665,0.2405,12
I,0.427,0.318,0.076,0.1759,0.0547,0.0418,0.0605,6
F,0.548,0.414,0.115,0.7149,0.3212,0.2136,0.1572,7
M,0.447,0.301,0.115,0.3674,0.146,0.0832,0.0944,7
I,0.343,0.263,0.06,0.116,0.0415,0.0195,0.0572,5
I,0.44,0.324,0.116,0.2936,0.1312,0.0781,0.0933,8
F,0.589,0.436,0.143,1.1944,0.4657,0.2973,0.3033,14
I,0.313,0.26,0.099,0.1969,0.1037,0.0248,0.0448,6
F,0.462,0.351,0.129,0.3699,0.1248,0.0783,0.1095,11
F,0.637,0.507,0.172,1.4014,0.6184,0.2739,0.4165,12
I,0.265,0.195,0.085,0.1187,0.0381,0.0455,0.0367,8
I,0.493,0.361,0.131,0.4167,0.1445,0.0893,0.2103,11
I,0.205,0.184,0.058,0.0466,0.0156,0.0158,0.0141,5
I,0.607,0.495,0.176,1.2362,0.5327,0.2788,0.3644,10
I,0.598,0.471,0.137,1.0914,0.5634,0.2327,0.213,8
F,0.275,0.197,0.074,0.1079,0.0698,0.0256,0.0242,6
M,0.374,0.32,0.116,0.5788,0.208,0.1271,0.1732,14
I,0.36,0.265,0.113,0.2324,0.0928,0.0541,0.0733,6
M,0.506,0.374,0.126,0.5616,0.2495,0.1183,0.1586,12
I,0.676,0.517,0.157,1.4552,0.8001,0.3125,0.3233,7
